,,Domestic,,
Year,Foreign,JVP,DAP,Total
1964,"111,777",,,"111,777"
1965,"53,810",,,"53,810"
1966,"102,353",,,"102,353"
1967,"162,228",,,"162,228"
1968,"84,189",,,"84,189"
1969,"167,134",,,"167,134"
1970,"133,079",,,"133,079"
1971,"160,399",,,"160,399"
1972,"47,856",,,"47,856"
1973,"78,240",,,"78,240"
1974,"42,235",,,"42,235"
1975,"64,690",,,"64,690"
1976,"56,221",,,"56,221"
1977,"58,373",,,"58,373"
1978,"138,433",,,"138,433"
1979,"99,019",,,"99,019"
1980,"77,768","9,623",,"87,391"
1981,"81,255","16,046",,"97,301"
1982,"78,331","17,381",,"95,712"
1983,"85,874","22,511",,"108,385"
1984,"126,762","32,764",,"159,526"
1985,"100,706","126,401",,"227,107"
1986,"57,197","151,400",,"208,597"
1987,"1,811","179,613",4,"181,428"
1988,,"213,323","9,833","223,156"
1989,,"151,501","1,664","153,165"
1990,,"69,677","14,293","83,970"
1991,,,"115,842","115,842"
1992,,,"149,569","149,569"
1993,,,"106,101","106,101"
1994,,,"144,544","144,544"
1995,,,"124,740","124,740"
1996,,,"129,659","129,659"
1997,,,"181,389","181,389"
1998,,,"101,201","101,201"
1999,,,"67,320","67,320"
2000,,,"83,850","83,850"
2001,,,"63,395","63,395"
2002,,,"73,000","73,000"
2003,,,"74,418","74,418"
2004,,,"69,046","69,046"
2005,,,"94,383","94,383"
2006,,,"99,068","99,068"
2007,,,"121,029","121,029"
2008,,,"148,894","148,894"
2009,,,"107,528","107,528"
2010,,,"118,624","118,624"
2011,,,"151,164","151,164"
2012,,,"147,183","147,183"
2013,,,"164,944","164,944"
2014,,,"156,778","156,778"
2015,,,"126,933","126,933"
2016,,,"135,353","135,353"
2017,,,"132,297","132,297"
2018,,,"146,500","146,500"
