,Year,Agent,Haul,Latitude,Longitude,CPUE_per_km2
95,1976,NOAA,225,64.5,-162.3333333,56.24550036
96,1976,NOAA,227,64.15,-162.2666667,138.2015423
97,1976,NOAA,228,64.16666667,-163.1,17.7710607
98,1976,NOAA,229,64.16666667,-163.8,54.23040566
99,1976,NOAA,230,64.33333333,-164.2166667,33.82655206
100,1976,NOAA,231,64.33333333,-163.55,151.245427
101,1976,NOAA,232,64.5,-163.5333333,37.15746047
102,1976,NOAA,233,64.33333333,-163.8,54.78802927
103,1976,NOAA,234,64.5,-163.9166667,223.8431724
104,1976,NOAA,243,64.5,-164.2833333,157.8729653
105,1976,NOAA,252,64.25,-166.5666667,2.149434344
106,1976,NOAA,253,64.25,-167.1,0
107,1976,NOAA,254,64.26666667,-167.8333333,0
108,1976,NOAA,255,64.25,-168.3666667,0
109,1976,NOAA,256,64.25,-168.9333333,0
110,1976,NOAA,258,64.26666667,-170.6833333,0
117,1979,NOAA,1,64.26333333,-166.5438333,0
128,1979,NOAA,2,64.254,-167.1348333,0
137,1979,NOAA,3,64.49583333,-167.2938333,0
148,1979,NOAA,4,64.725,-167.2715,2.149434344
158,1979,NOAA,5,64.72666667,-167.8555,0
168,1979,NOAA,6,64.7595,-168.4273333,0
179,1979,NOAA,7,64.7615,-169.0483333,0
189,1979,NOAA,8,64.74116667,-169.5691667,0
200,1979,NOAA,9,64.48533333,-169.577,0
118,1979,NOAA,10,64.53183333,-169.0525,0
119,1979,NOAA,11,64.54433333,-168.4556667,0
121,1979,NOAA,12,64.48783333,-167.894,0
122,1979,NOAA,13,64.27933333,-167.8401667,0
123,1979,NOAA,14,64.248,-168.3686667,0
124,1979,NOAA,15,64.25083333,-168.8995,0
125,1979,NOAA,16,64.23183333,-169.5813333,0
126,1979,NOAA,17,64.0105,-169.53,0
127,1979,NOAA,19,64.0165,-168.9273333,0
129,1979,NOAA,20,64.03116667,-168.3048333,0
130,1979,NOAA,21,64.0295,-167.773,0
131,1979,NOAA,22,64.01366667,-167.1765,0
132,1979,NOAA,25,63.76433333,-166.546,4.275248531
133,1979,NOAA,26,63.522,-167.085,68.5693176
134,1979,NOAA,27,63.73816667,-167.101,0
135,1979,NOAA,28,63.7685,-167.669,1.896559716
136,1979,NOAA,29,63.76833333,-168.2905,0
138,1979,NOAA,30,63.76616667,-168.8921667,0
139,1979,NOAA,31,63.71733333,-169.4306667,0
140,1979,NOAA,32,63.60533333,-169.2091667,0
141,1979,NOAA,33,63.48716667,-168.8563333,0
142,1979,NOAA,34,63.5235,-168.2013333,0
143,1979,NOAA,35,63.485,-167.6583333,13.935893
144,1979,NOAA,36,63.24116667,-167.6111667,3.011570098
145,1979,NOAA,37,63.24066667,-167.0743333,61.05810748
146,1979,NOAA,38,63.253,-166.4775,40.72115176
147,1979,NOAA,39,63.479,-166.4661667,65.35697617
149,1979,NOAA,40,63.3375,-166.0938333,50.22236016
150,1979,NOAA,41,63.16766667,-166.1098333,46.98594433
151,1979,NOAA,42,63.17633333,-165.741,121.076928
152,1979,NOAA,43,63.30266667,-165.7555,80.36020504
153,1979,NOAA,44,63.53466667,-165.7245,43.93349319
154,1979,NOAA,45,63.48983333,-166.024,32.14703454
155,1979,NOAA,47,64.04116667,-166.1408333,25.53061156
156,1979,NOAA,48,64.19416667,-166.1321667,34.0338683
157,1979,NOAA,49,64.3275,-166.177,89.99280058
159,1979,NOAA,51,64.33216667,-165.7486667,69.6322247
160,1979,NOAA,52,64.14633333,-165.7353333,0
161,1979,NOAA,53,63.993,-165.6501667,26.78525875
162,1979,NOAA,54,63.83416667,-166.0893333,48.20874173
163,1979,NOAA,55,63.83266667,-165.6725,48.20874173
164,1979,NOAA,56,63.82266667,-165.3241667,14.17209458
165,1979,NOAA,57,63.99383333,-165.28,55.71995185
166,1979,NOAA,58,64.15,-165.3486667,50.35817607
167,1979,NOAA,59,64.33066667,-165.4271667,0
169,1979,NOAA,60,64.2965,-165.0831667,53.57051751
170,1979,NOAA,61,64.15416667,-164.9948333,185.3473769
171,1979,NOAA,62,63.99416667,-164.9765,42.84696594
172,1979,NOAA,63,63.84,-165.0306667,37.50881032
173,1979,NOAA,64,63.81366667,-164.6281667,103.3044466
174,1979,NOAA,65,63.98666667,-164.6135,28.69849152
175,1979,NOAA,66,64.16433333,-164.5963333,42.84696594
176,1979,NOAA,67,64.31666667,-164.6785,384.7059361
177,1979,NOAA,68,64.4785,-164.3078333,0
178,1979,NOAA,69,64.32566667,-164.215,42.84696594
180,1979,NOAA,70,64.15633333,-164.2371667,163.7319802
181,1979,NOAA,71,64.00033333,-164.2828333,108.2039421
182,1979,NOAA,72,63.80583333,-164.2275,170.7515958
183,1979,NOAA,73,63.85216667,-163.856,81.41868336
184,1979,NOAA,75,64.1825,-163.8013333,96.41748345
185,1979,NOAA,76,64.33866667,-163.7921667,58.93229329
186,1979,NOAA,77,64.48883333,-163.926,107.141035
187,1979,NOAA,78,64.47,-163.563,117.8645866
188,1979,NOAA,79,64.34983333,-163.5446667,63.14174281
190,1979,NOAA,80,64.1665,-163.4866667,31.25734193
191,1979,NOAA,81,64.00083333,-163.4146667,91.07932783
192,1979,NOAA,82,63.83616667,-163.4708333,74.99400048
193,1979,NOAA,83,63.82833333,-163.1316667,139.2880696
194,1979,NOAA,84,63.99866667,-163.037,37.50881032
195,1979,NOAA,85,64.15116667,-163.0958333,80.35577626
196,1979,NOAA,86,64.1475,-162.2561667,10.05332959
197,1979,NOAA,87,64.30566667,-162.3038333,21.42348297
198,1979,NOAA,88,64.48166667,-162.3535,273.2143633
199,1979,NOAA,89,64.29983333,-161.6191667,117.8645866
201,1979,NOAA,90,64.175,-161.535,12.84936575
202,1979,NOAA,91,63.978,-161.5828333,10.05332959
203,1979,NOAA,92,63.79583333,-161.5813333,53.57051751
204,1979,NOAA,93,63.82033333,-162.3268333,69.6322247
205,1979,NOAA,94,63.985,-162.3375,32.14703454
206,1979,NOAA,95,63.66283333,-163.0815,0
120,1979,NOAA,117,63.65183333,-165.7573333,110.4980499
207,1982,NOAA,20,64.48133333,-165.87,0
208,1982,NOAA,21,64.33433333,-166.1736667,518.424363
209,1982,NOAA,22,64.333,-165.7616667,983.9241786
210,1982,NOAA,23,64.33266667,-165.4441667,515.1011299
211,1982,NOAA,24,64.33566667,-164.9768333,114.8031687
212,1982,NOAA,25,64.31033333,-164.6941667,129.7714934
213,1982,NOAA,26,64.32083333,-164.2216667,46.44842559
214,1982,NOAA,27,64.48016667,-164.2996667,578.552141
215,1982,NOAA,28,64.49216667,-163.8723333,389.6037637
216,1982,NOAA,29,64.33016667,-163.7946667,466.2575375
217,1982,NOAA,30,64.341,-163.5526667,243.5023523
218,1982,NOAA,31,64.14966667,-163.523,93.09078588
219,1982,NOAA,32,64.14883333,-163.0726667,145.1496783
220,1982,NOAA,33,64.141,-162.2618333,35.60963005
221,1982,NOAA,34,64.298,-162.3101667,71.65031893
222,1982,NOAA,35,64.46866667,-162.3563333,309.4314004
223,1982,NOAA,36,64.3175,-161.625,331.15461
224,1982,NOAA,37,64.1715,-161.5186667,87.46688984
225,1982,NOAA,38,63.97716667,-161.5761667,0
226,1982,NOAA,39,63.78733333,-161.5853333,54.90586331
227,1982,NOAA,40,63.8225,-162.3236667,128.9704348
228,1982,NOAA,42,64.00566667,-163.0495,90.95989005
229,1982,NOAA,43,63.82983333,-163.1303333,126.8728796
230,1982,NOAA,44,63.65516667,-163.0618333,86.87589734
231,1982,NOAA,45,63.8345,-163.463,276.0732719
232,1982,NOAA,46,64.00016667,-163.4113333,84.57673987
233,1982,NOAA,47,64.19583333,-163.8368333,259.5209804
234,1982,NOAA,48,64.16533333,-164.2345,161.7089471
235,1982,NOAA,49,64.15866667,-164.5981667,90.39139074
236,1982,NOAA,50,64.15033333,-164.9695,131.4038392
237,1982,NOAA,51,64.14883333,-165.3396667,642.8416385
238,1982,NOAA,52,64.1405,-165.72,336.1241059
239,1982,NOAA,53,64.186,-166.1373333,300.6769872
240,1982,NOAA,54,64.02566667,-166.186,107.141035
241,1982,NOAA,55,63.98116667,-165.6483333,116.3137368
242,1982,NOAA,56,63.98283333,-165.2741667,198.2712842
243,1982,NOAA,57,63.9885,-164.9735,302.6294352
244,1982,NOAA,58,63.978,-164.6305,1241.829787
245,1982,NOAA,59,64.00283333,-164.2901667,1014.735599
246,1982,NOAA,60,63.994,-163.8151667,83.49112212
247,1982,NOAA,61,63.84783333,-163.8493333,605.2588704
248,1982,NOAA,62,63.78566667,-164.213,2245.800045
249,1982,NOAA,63,63.81183333,-164.6276667,854.4068792
250,1982,NOAA,64,63.83883333,-165.0248333,618.1213559
251,1982,NOAA,65,63.8175,-165.3291667,289.4716337
252,1982,NOAA,66,63.824,-165.6543333,94.52694456
253,1982,NOAA,67,63.82616667,-166.0861667,58.15686838
254,1982,NOAA,68,63.75533333,-166.5365,26.96502559
255,1982,NOAA,69,63.63366667,-166.021,42.28319008
256,1982,NOAA,70,63.47533333,-166.4558333,116.3137368
257,1982,NOAA,71,63.48783333,-167.0721667,685.8345961
258,1982,NOAA,72,63.73766667,-167.102,141.4981141
259,1982,NOAA,73,64.0085,-167.1726667,69.43888933
260,1982,NOAA,74,63.99483333,-166.6135,10.24543143
261,1982,NOAA,75,64.24466667,-166.6146667,52.61811901
262,1982,NOAA,76,64.254,-167.1133333,3.149354351
263,1982,NOAA,77,64.504,-166.6738333,20.59950286
264,1985,NOAA,211,64.345,-165.36,314.8981961
265,1985,NOAA,212,64.332,-164.989,61.73308086
266,1985,NOAA,213,64.164,-164.996,96.41911243
267,1985,NOAA,214,64.179,-165.36,1173.165989
268,1985,NOAA,215,64.179,-165.748,803.543777
269,1985,NOAA,216,64.321,-165.757,377.1753539
270,1985,NOAA,217,64.321,-166.175,711.2380573
271,1985,NOAA,218,64.494,-165.74,16.06170719
272,1985,NOAA,219,64.345,-166.551,27.51910146
273,1985,NOAA,220,64.324,-166.91,125.4458952
274,1985,NOAA,221,64.172,-166.928,60.80594634
275,1985,NOAA,222,64.172,-166.543,127.263507
276,1985,NOAA,223,64.004,-166.532,128.1136811
277,1985,NOAA,224,63.992,-166.909,222.6120059
278,1985,NOAA,225,63.841,-166.893,0
279,1985,NOAA,226,63.843,-166.507,13.935893
280,1985,NOAA,227,63.654,-166.478,130.3018763
281,1985,NOAA,228,63.508,-166.464,208.0434363
282,1985,NOAA,229,63.343,-166.447,584.5018322
283,1985,NOAA,230,63.16,-166.397,2275.810114
284,1985,NOAA,231,63.158,-166.057,294.6378463
285,1985,NOAA,232,63.325,-166.061,438.2996328
286,1985,NOAA,233,63.498,-166.088,164.9370744
287,1985,NOAA,234,63.657,-166.097,246.5034761
288,1985,NOAA,235,63.845,-166.122,163.8881529
289,1985,NOAA,236,63.821,-165.739,180.9288432
290,1985,NOAA,237,63.999,-165.762,349.2712709
291,1985,NOAA,238,64.001,-166.121,294.4514214
292,1985,NOAA,239,64.164,-166.18,220.1528117
293,1985,NOAA,240,64.499,-166.547,63.41289258
294,1985,NOAA,241,63.668,-165.738,1303.174062
295,1985,NOAA,242,63.498,-165.695,401.7691744
296,1985,NOAA,243,63.514,-165.336,615.3649042
297,1985,NOAA,244,63.664,-165.312,388.2821013
298,1985,NOAA,245,63.822,-165.352,204.924683
299,1985,NOAA,246,63.999,-165.361,168.0504744
300,1985,NOAA,248,63.996,-165.021,241.0521444
301,1985,NOAA,249,64,-164.612,491.9741404
302,1985,NOAA,250,64.169,-164.602,49.96142126
303,1985,NOAA,251,64.333,-164.577,125.2251799
304,1985,NOAA,252,64.334,-164.227,334.8157344
305,1985,NOAA,253,64.5,-164.182,548.5545408
306,1985,NOAA,254,64.484,-163.795,138.8777787
307,1985,NOAA,255,64.334,-163.826,447.9286489
308,1985,NOAA,256,64.343,-163.401,244.1506678
309,1985,NOAA,257,64.168,-163.049,392.2102398
310,1985,NOAA,258,64.167,-163.398,188.0566593
311,1985,NOAA,259,64.167,-163.825,171.7999948
312,1985,NOAA,260,64.164,-164.197,116.3822181
313,1985,NOAA,261,64.01,-164.22,461.3931114
314,1985,NOAA,262,64.002,-163.861,643.9324138
315,1985,NOAA,263,64.005,-163.472,415.8221387
316,1985,NOAA,264,64,-163.106,328.2037537
317,1985,NOAA,265,64.494,-162.233,390.905629
318,1985,NOAA,266,64.344,-162.262,370.8667571
319,1985,NOAA,267,64.179,-162.289,204.924683
320,1985,NOAA,268,64.01,-162.351,146.5806336
321,1985,NOAA,269,63.843,-162.373,639.5519212
322,1985,NOAA,270,64.35,-161.485,323.5803071
323,1985,NOAA,271,64.175,-161.512,1525.117118
324,1985,NOAA,272,64.007,-161.532,242.5745622
325,1985,NOAA,273,63.842,-161.579,521.504924
326,1985,NOAA,274,63.834,-163.102,329.4569112
327,1985,NOAA,275,63.835,-163.447,334.8157344
328,1985,NOAA,276,63.833,-163.868,1059.674084
329,1985,NOAA,277,63.835,-164.209,499.048348
330,1985,NOAA,278,63.837,-164.595,306.9498535
331,1985,NOAA,279,63.836,-164.96,246.4291046
332,1985,NOAA,280,63.676,-164.957,195.5888908
333,1985,NOAA,281,63.667,-164.572,98.90734538
334,1985,NOAA,282,63.507,-164.95,43.82766262
335,1985,NOAA,283,63.339,-165.325,314.8194914
336,1985,NOAA,284,63.33,-165.68,284.0000391
337,1985,NOAA,285,63.173,-165.699,572.5181749
338,1985,NOAA,286,63.011,-165.701,262.2575627
339,1985,NOAA,288,64.666,-166.582,65.16290784
340,1985,NOAA,289,64.508,-166.968,82.55730438
341,1988,NOAA,1,64.413,-165.0043333,175.7782606
352,1988,NOAA,2,64.40883333,-164.6131667,48.53229033
363,1988,NOAA,3,64.41633333,-164.1883333,220.5471132
373,1988,NOAA,4,64.49683333,-164.1993333,692.2770885
382,1988,NOAA,5,64.49433333,-163.7983333,883.9095467
391,1988,NOAA,6,64.34016667,-163.8263333,161.7233324
402,1988,NOAA,7,64.32633333,-163.4386667,332.1230365
412,1988,NOAA,8,64.32416667,-162.32,447.9983528
419,1988,NOAA,9,64.50483333,-162.2621667,971.5199416
342,1988,NOAA,10,64.33083333,-161.5305,786.2896836
343,1988,NOAA,11,64.17416667,-161.5385,439.2705133
344,1988,NOAA,12,64.00516667,-161.5808333,74.86563006
345,1988,NOAA,13,63.84183333,-161.59,358.7368586
346,1988,NOAA,14,63.83016667,-162.3513333,452.3697597
347,1988,NOAA,15,64.0255,-162.3623333,210.9206263
348,1988,NOAA,16,64.149,-162.3263333,117.8645866
349,1988,NOAA,17,64.16466667,-163.0531667,211.4625691
350,1988,NOAA,18,64.008,-163.1096667,178.3393914
351,1988,NOAA,19,63.84183333,-163.116,251.7040834
353,1988,NOAA,20,63.81566667,-163.4895,602.400965
354,1988,NOAA,21,63.98733333,-163.4748333,60.00715996
355,1988,NOAA,22,64.15116667,-163.4483333,192.242669
356,1988,NOAA,23,64.165,-163.7966667,70.30687545
357,1988,NOAA,24,64.00533333,-163.8586667,118.8308658
358,1988,NOAA,25,63.84283333,-163.8695,817.8095228
359,1988,NOAA,26,63.82616667,-164.1986667,954.0211757
360,1988,NOAA,27,63.9835,-164.2316667,771.404823
361,1988,NOAA,28,64.152,-164.2253333,256.5281157
362,1988,NOAA,29,64.31483333,-164.2301667,134.6588378
364,1988,NOAA,31,64.17683333,-164.6005,68.59207361
365,1988,NOAA,32,64.013,-164.6088333,360.7442256
366,1988,NOAA,33,63.84166667,-164.6263333,299.3190663
367,1988,NOAA,34,63.6805,-164.6275,62.89417128
368,1988,NOAA,35,63.4955,-165.147,25.11118008
369,1988,NOAA,36,63.65316667,-164.9986667,165.4383629
370,1988,NOAA,37,63.8195,-164.9846667,215.3772741
371,1988,NOAA,38,63.96866667,-164.9578333,209.5317274
372,1988,NOAA,39,64.149,-164.9883333,439.2640715
374,1988,NOAA,41,64.41283333,-165.4048333,121.0609767
375,1988,NOAA,43,64.17866667,-165.381,560.5780446
376,1988,NOAA,44,64.01083333,-165.3675,210.306885
377,1988,NOAA,45,63.84183333,-165.367,97.63496803
378,1988,NOAA,46,63.67416667,-165.3663333,159.6843013
379,1988,NOAA,47,63.51366667,-165.3578333,721.648472
380,1988,NOAA,48,63.34416667,-165.357,154.645183
381,1988,NOAA,49,63.16666667,-165.702,165.7762116
383,1988,NOAA,50,63.32133333,-165.7268333,100.3212513
384,1988,NOAA,51,63.48666667,-165.7375,211.3129287
385,1988,NOAA,52,63.65416667,-165.7398333,704.7316099
386,1988,NOAA,53,63.82133333,-165.7531667,373.0481805
387,1988,NOAA,54,63.9875,-165.7533333,220.4884105
388,1988,NOAA,55,64.154,-165.7713333,239.0884845
389,1988,NOAA,56,64.31866667,-165.7743333,224.1946629
390,1988,NOAA,58,64.49616667,-165.7756667,316.5173135
392,1988,NOAA,60,64.32683333,-166.1991667,513.4487473
393,1988,NOAA,61,64.17333333,-166.2025,265.8579965
394,1988,NOAA,62,64.011,-166.1686667,122.6538843
395,1988,NOAA,63,63.84666667,-166.1476667,63.0568512
396,1988,NOAA,64,63.68016667,-166.1311667,94.7758825
397,1988,NOAA,65,63.51066667,-166.1088333,34.30683871
398,1988,NOAA,66,63.34483333,-166.088,183.0935953
399,1988,NOAA,67,63.1785,-166.0903333,312.4859373
400,1988,NOAA,68,63.14983333,-166.4366667,475.983788
401,1988,NOAA,69,63.3175,-166.4633333,985.0917963
403,1988,NOAA,70,63.48866667,-166.487,306.9939141
404,1988,NOAA,71,63.65666667,-166.5293333,93.83511069
405,1988,NOAA,72,63.84166667,-166.5463333,3.886589574
406,1988,NOAA,73,64.00633333,-166.5701667,4.218995261
407,1988,NOAA,74,64.15683333,-166.5516667,31.7292436
408,1988,NOAA,75,64.32433333,-166.5655,159.6661305
409,1988,NOAA,76,64.4885,-166.5298333,306.8944223
410,1988,NOAA,78,64.65766667,-166.9391667,363.1150752
411,1988,NOAA,79,64.5045,-166.9348333,29.76577272
413,1988,NOAA,80,64.34583333,-166.925,29.11922558
414,1988,NOAA,81,64.34466667,-167.3183333,113.1984913
415,1988,NOAA,82,64.1795,-167.322,145.1351322
416,1988,NOAA,83,64.18033333,-166.9168333,40.42166598
417,1988,NOAA,84,64.00783333,-166.9193333,45.64376757
418,1988,NOAA,85,63.841,-166.9008333,12.51561599
420,1991,NOAA,211,63.38766,-166.4832,32.80309647
421,1991,NOAA,212,63.5055,-166.4288,89.91351613
422,1991,NOAA,213,63.63,-166.4828,3.441794398
423,1991,NOAA,214,63.83067,-166.489,1.099559062
424,1991,NOAA,215,63.999,-166.4708,0
425,1991,NOAA,216,64.15166,-166.5013,3.088789844
426,1991,NOAA,217,64.19733,-166.7995,9.868298986
427,1991,NOAA,218,64.33701,-166.8218,3.886589574
428,1991,NOAA,219,64.4015,-167.2452,0
429,1991,NOAA,220,64.4985,-166.916,0
430,1991,NOAA,222,64.31867,-166.5088,3.650387998
431,1991,NOAA,223,64.3345,-166.1732,6.257807996
432,1991,NOAA,224,64.15433,-166.1277,22.47218494
433,1991,NOAA,225,64.01867,-166.1167,10.79552171
434,1991,NOAA,226,63.82634,-166.086,36.20371344
435,1991,NOAA,227,63.645,-166.0702,60.96444134
436,1991,NOAA,228,63.46683,-166.0792,38.27027921
437,1991,NOAA,229,63.35167,-166.0505,31.68760584
438,1991,NOAA,230,63.364,-165.7608,63.16355946
439,1991,NOAA,231,63.5085,-165.7048,54.5714774
440,1991,NOAA,232,63.68534,-165.7052,82.71199058
441,1991,NOAA,233,63.83817,-165.7133,151.4000756
442,1991,NOAA,234,64.02351,-165.7023,50.22236016
443,1991,NOAA,235,64.16467,-165.696,24.95521002
444,1991,NOAA,236,64.327,-165.6415,59.68476403
445,1991,NOAA,237,64.49567,-165.5527,0
446,1991,NOAA,238,64.33533,-165.3743,192.8585871
447,1991,NOAA,239,64.1735,-165.371,115.5535163
448,1991,NOAA,240,63.97616,-165.3343,50.30129487
449,1991,NOAA,241,63.82767,-165.2987,84.88286225
450,1991,NOAA,242,63.64967,-165.2263,54.90586331
451,1991,NOAA,243,63.50633,-165.302,57.40158437
452,1991,NOAA,244,63.6525,-164.9695,340.5760808
453,1991,NOAA,245,63.83567,-164.953,323.7405994
454,1991,NOAA,246,63.98534,-164.9545,135.5313262
455,1991,NOAA,247,64.171,-164.9215,518.0739706
456,1991,NOAA,248,64.3125,-164.8843,265.9754066
457,1991,NOAA,249,64.40116,-164.6202,267.8401559
458,1991,NOAA,250,64.49966,-164.2122,1068.713716
459,1991,NOAA,252,64.17433,-164.5495,262.3765673
460,1991,NOAA,253,64.16216,-164.1947,96.62587902
461,1991,NOAA,254,64.17683,-163.8372,146.5806336
462,1991,NOAA,255,64.32967,-163.8493,221.4844012
463,1991,NOAA,256,64.17133,-163.4847,373.8974544
464,1991,NOAA,257,64.168,-163.16,286.0991593
465,1991,NOAA,258,64.06816,-163.1502,448.8190013
466,1991,NOAA,259,63.9985,-163.4383,166.9551475
467,1991,NOAA,260,63.99316,-163.7798,124.7760501
468,1991,NOAA,261,63.98817,-164.2678,472.6810368
469,1991,NOAA,262,63.95733,-164.5403,638.5889504
470,1991,NOAA,263,63.84133,-164.6425,636.9665192
490,1996,ADFG,3,64.33083333,-164.9993333,9.490241906
501,1996,ADFG,4,64.332,-164.6376667,1004.87481
511,1996,ADFG,5,64.47783333,-164.2551667,411.2438159
514,1996,ADFG,6,64.51066667,-163.8125,331.3383223
515,1996,ADFG,7,64.3415,-164.1821667,476.9454906
516,1996,ADFG,8,64.49466667,-162.317,224.3914975
517,1996,ADFG,9,64.35516667,-162.2848333,164.4975264
471,1996,ADFG,10,64.18866667,-162.3271667,25.30731175
472,1996,ADFG,11,64.02183333,-162.2955,109.243229
473,1996,ADFG,12,63.99516667,-162.6461667,99.1517811
474,1996,ADFG,13,64.14333333,-162.6546667,18.07665125
475,1996,ADFG,15,64.17616667,-163.0131667,41.89386066
476,1996,ADFG,16,64.01033333,-163.0631667,395.9849956
477,1996,ADFG,17,63.99683333,-163.433,63.97126025
478,1996,ADFG,18,64.15566667,-163.4478333,162.3885837
479,1996,ADFG,19,64.31566667,-163.7946667,870.1249245
480,1996,ADFG,20,64.33733333,-163.4703333,166.0792333
