Year,Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2006,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,127,YSOL,Yellowfin Sole,1,0.592,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",10/18/20 19:00
2007,ADFG,Subsistence Fishery,,BS,512,Central,,AKR,127,YSOL,Yellowfin Sole,0,5.599,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",10/18/20 19:00
2010,ADFG,Large-Mesh Trawl Survey,1,BS,518,Westward,675332,AKR,127,YSOL,Yellowfin Sole,41,23.49,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665336,AKR,127,YSOL,Yellowfin Sole,10,12.927,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2010,ADFG,St. Matthews Crab Survey,6,BS,524,Westward,,AKR,127,YSOL,Yellowfin Sole,4,1.852,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2010,IPHC,IPHC Annual Longline Survey,8,BS,521,,705701,AKR,127,YSOL,Yellowfin Sole,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2010,NMFS,Aleutian Island Bottom Trawl Survey,1,BS,519,,,AKR,127,YSOL,Yellowfin Sole,86,25.396,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Acoustic Survey,2,BS,509,,,AKR,127,YSOL,Yellowfin Sole,2,0.76,1,,10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,39861,10490.318,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,22257,6096.481,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,100534,27907.245,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,20977,6284.591,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,203221,43921.57,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,33634,9363.852,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,129,64.721,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,3836,899.04,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,478,106.329,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Northern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,55614,11389.993,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2010,NMFS,Northern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,5428,2026.94,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,ADFG,Large-Mesh Trawl Survey,1,BS,518,Westward,675332,AKR,127,YSOL,Yellowfin Sole,59,33.133,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2011,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665336,AKR,127,YSOL,Yellowfin Sole,3,1.996,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2011,ADFG,Pribilof Islands Crab Survey,6,BS,513,WESTWARD,,AKR,127,YSOL,Yellowfin Sole,35,16.198,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
