,2010-2014 Average,2015,2016,2017,2018,2019
Total catch K mt,280.7,219.2,225.2,211.1,212.1,207.1
Retained catch K mt,251.7,207.8,211.4,198.6,197.4,196.8
Yellowfin sole share of retained,54.47%,59.24%,62.05%,64.77%,64.50%,63.57%
Rock sole share of retained,22.41%,21.34%,20.46%,17.09%,13.75%,12.34%
Flathead sole share of retained,5.56%,4.85%,4.26%,4.08%,5.15%,7.56%
Arrowtooth and Kamchatka flounder share of retained,10.01%,6.76%,6.39%,4.90%,4.44%,6.64%
Vessels #,39,34,39,34,35,35
Total flatfish first-wholesale production K mt,150,121.6,123.9,116.9,115.1,116.2
Total flatfish first-wholesale value M US$,$211.84 ,$143.20 ,$166.70 ,$192.40 ,$211.60 ,$209.80 
Total flatfish first-wholesale price/lb US$,$0.64 ,$0.53 ,$0.61 ,$0.75 ,$0.83 ,$0.82 
Yellowfin sole share of value,51.20%,54.75%,56.51%,57.59%,64.56%,61.39%
Yellowfin sole price/lb US$,$0.57 ,$0.48 ,$0.55 ,$0.65 ,$0.81 ,$0.78 
Rock sole share of value,23.01%,21.16%,20.40%,15.75%,13.75%,11.63%
Rock sole price/lb US$,$0.70 ,$0.55 ,$0.62 ,$0.72 ,$0.89 ,$0.83 
Flathead sole share of value,5.69%,5.03%,4.68%,4.16%,5.62%,7.29%
Flathead sole price/lb US$,$0.79 ,$0.64 ,$0.74 ,$0.85 ,$0.96 ,$0.85 
ATF and KF share of value,10.87%,8.31%,8.22%,8.63%,4.54%,6.77%
ATF and KF price/lb US$,$0.75 ,$0.71 ,$0.84 ,$1.36 ,$1.00 ,$0.91 
H&G share of value,85.70%,90.57%,89.20%,89.66%,93.05%,94.04%
