"","Cat","Year","Month"
"1",0.0046366485548243,2003,1
"2",0.0108292043611548,2004,1
"3",0.00340881305134346,2005,1
"4",0.00813234656693066,2006,1
"5",0.00272864197160135,2007,1
"6",0.0214528680067614,2008,1
"7",0.0116784189413698,2009,1
"8",0.109852811900534,2010,1
"9",0.0809136808011025,2011,1
"10",0.0873096800474609,2012,1
"11",0.0797098334250151,2013,1
"12",0.0921943016602958,2014,1
"13",0.0757711770430084,2015,1
"14",0.0644997034215515,2016,1
"15",0.0506450075989551,2017,1
"16",0.0353553596568921,2018,1
"17",0.0453881391320581,2019,1
"18",0.0483799101910778,2020,1
"19",0.0654847403295481,2003,2
"20",0.0684610097769467,2004,2
"21",0.023189723115173,2005,2
"22",0.0624578556914519,2006,2
"23",0.109506576634803,2007,2
"24",0.0767159695426797,2008,2
"25",0.0247111624405787,2009,2
"26",0.217785078948274,2010,2
"27",0.119208166563772,2011,2
"28",0.109593426117201,2012,2
"29",0.152753308826254,2013,2
"30",0.124475811350596,2014,2
"31",0.167574655503352,2015,2
"32",0.129959865858939,2016,2
"33",0.123653849017067,2017,2
"34",0.0891994517723399,2018,2
"35",0.203718361046713,2019,2
"36",0.183917779603597,2020,2
"37",0.275539393817874,2003,3
"38",0.336008205737817,2004,3
"39",0.320021019276902,2005,3
"40",0.424083433360433,2006,3
"41",0.383924595055894,2007,3
"42",0.28694528324608,2008,3
"43",0.263313222460237,2009,3
"44",0.267737258682264,2010,3
"45",0.239623924195076,2011,3
"46",0.164913444368426,2012,3
"47",0.22377079274083,2013,3
"48",0.252875052669695,2014,3
"49",0.242273518808622,2015,3
"50",0.203114930931308,2016,3
"51",0.232398509184069,2017,3
"52",0.230682181924364,2018,3
"53",0.373057294789573,2019,3
"54",0.406353441424388,2020,3
"55",0.422246746610926,2003,4
"56",0.555379933920691,2004,4
"57",0.632372189491577,2005,4
"58",0.648435337038775,2006,4
"59",0.626002343811278,2007,4
"60",0.418282842300991,2008,4
"61",0.437874380253917,2009,4
"62",0.439264029026729,2010,4
"63",0.341455671111547,2011,4
"64",0.309015383321675,2012,4
"65",0.341095993315693,2013,4
"66",0.347075334214384,2014,4
"67",0.327552013944579,2015,4
"68",0.328633227963318,2016,4
"69",0.345423393687482,2017,4
"70",0.363814061851996,2018,4
"71",0.498859118717524,2019,4
"72",0.5482093815349,2020,4
"73",0.592528111020737,2003,5
"74",0.822601511703833,2004,5
"75",0.79833595012462,2005,5
"76",0.755051420792987,2006,5
"77",0.77100684246611,2007,5
"78",0.588330822577845,2008,5
"79",0.543549419132919,2009,5
"80",0.593192991758881,2010,5
"81",0.486170783995715,2011,5
"82",0.437234935058678,2012,5
"83",0.48618197514001,2013,5
"84",0.542170488302734,2014,5
"85",0.465608187131551,2015,5
"86",0.472314193913288,2016,5
"87",0.477198856346665,2017,5
"88",0.524877531575535,2018,5
"89",0.659306727627076,2019,5
"90",0.680842870865963,2020,5
"91",0.674340672903598,2003,6
"92",0.884754401273031,2004,6
"93",0.840939442472629,2005,6
"94",0.862823359244307,2006,6
"95",0.871326521002332,2007,6
"96",0.640369278920324,2008,6
"97",0.58189072138131,2009,6
"98",0.65471272517598,2010,6
"99",0.611241769233387,2011,6
"100",0.556650923202781,2012,6
"101",0.53824810973584,2013,6
"102",0.589246197710728,2014,6
"103",0.506905282077373,2015,6
"104",0.541878596715208,2016,6
"105",0.559422664055677,2017,6
"106",0.612105442253761,2018,6
