LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,CPUE_KGHA,CPUE_NOHA,COMMON_NAME,SCIENTIFIC_NAME,SPECIES_CODE,BOTTOM_DEPTH,BOTTOM_TEMPERATURE,SURFACE_TEMPERATURE,VESSEL,CRUISE,HAUL
56.67444,-160.94185,F-12,31,2019,6/6/19 10:15,3.5767,3.6401,arrowtooth flounder,Atheresthes stomias,10110,71,5,7.8,94,201901,16
56.34667,-160.96492,E-12,10,2019,6/6/19 12:56,0.0315,1.3318,arrowtooth flounder,Atheresthes stomias,10110,54,5.9,8.2,94,201901,17
56.32843,-161.60782,E-11,10,2019,6/6/19 15:48,5.2465,5.0915,arrowtooth flounder,Atheresthes stomias,10110,64,4.9,8.6,94,201901,18
56.65096,-161.59646,F-11,31,2019,6/6/19 18:36,17.0123,13.5476,arrowtooth flounder,Atheresthes stomias,10110,88,4.6,8.4,94,201901,19
56.9865,-161.55186,G-11,31,2019,6/7/19 7:08,5.5469,3.4413,arrowtooth flounder,Atheresthes stomias,10110,69,4.8,8.1,94,201901,20
57.30906,-161.55211,H-11,31,2019,6/7/19 9:49,3.5383,2.6242,arrowtooth flounder,Atheresthes stomias,10110,56,5.8,8,94,201901,21
57.65035,-161.48532,I-11,10,2019,6/7/19 12:32,1.2613,0.8851,arrowtooth flounder,Atheresthes stomias,10110,53,5.4,8.2,94,201901,22
57.3478,-162.74769,H-09,10,2019,6/8/19 18:41,1.4881,1.6175,arrowtooth flounder,Atheresthes stomias,10110,48,6.2,7.6,94,201901,29
57.01481,-162.7846,G-09,31,2019,6/9/19 7:09,11.3257,12.2821,arrowtooth flounder,Atheresthes stomias,10110,60,4.8,8.1,94,201901,30
56.66986,-162.81097,F-09,31,2019,6/9/19 9:48,17.0321,29.6396,arrowtooth flounder,Atheresthes stomias,10110,72,4.2,8.5,94,201901,31
56.35025,-162.79048,E-09,31,2019,6/9/19 12:23,12.1607,16.6509,arrowtooth flounder,Atheresthes stomias,10110,78,4.3,8.8,94,201901,32
56.00527,-162.79824,D-09,31,2019,6/9/19 15:04,11.686,38.2484,arrowtooth flounder,Atheresthes stomias,10110,79,4.5,9.1,94,201901,33
55.99372,-163.39367,D-08,31,2019,6/10/19 7:08,50.9073,151.5514,arrowtooth flounder,Atheresthes stomias,10110,88,4.5,8.9,94,201901,34
56.32909,-163.41739,E-08,31,2019,6/10/19 11:22,71.7584,90.5903,arrowtooth flounder,Atheresthes stomias,10110,85,4.3,8.9,94,201901,36
56.64909,-163.3981,F-08,31,2019,6/10/19 13:55,18.8291,21.6461,arrowtooth flounder,Atheresthes stomias,10110,75,4.1,8.9,94,201901,37
57.00133,-163.39803,G-08,31,2019,6/11/19 7:07,15.8258,21.7774,arrowtooth flounder,Atheresthes stomias,10110,65,4.1,8.3,94,201901,40
57.31535,-163.37845,H-08,10,2019,6/11/19 9:53,1.9146,1.8812,arrowtooth flounder,Atheresthes stomias,10110,53,5.3,7.4,94,201901,41
57.65533,-163.38971,I-08,10,2019,6/11/19 12:39,0.0957,0.2081,arrowtooth flounder,Atheresthes stomias,10110,47,6.6,6.9,94,201901,42
57.68252,-165.2586,I-05,31,2019,6/16/19 7:03,1.9175,1.7472,arrowtooth flounder,Atheresthes stomias,10110,61,4,8.8,94,201901,63
57.34543,-165.22465,H-05,31,2019,6/16/19 9:40,4.8782,5.0164,arrowtooth flounder,Atheresthes stomias,10110,68,3.7,9,94,201901,64
57.01066,-165.22331,G-05,31,2019,6/16/19 12:10,4.9322,4.5039,arrowtooth flounder,Atheresthes stomias,10110,71,3.9,9.3,94,201901,65
56.67772,-165.21241,F-05,31,2019,6/16/19 14:39,19.3208,25.5589,arrowtooth flounder,Atheresthes stomias,10110,76,3.9,9.6,94,201901,66
56.65689,-165.83554,F-04,31,2019,6/16/19 17:10,13.4352,16.4669,arrowtooth flounder,Atheresthes stomias,10110,79,4,9.8,94,201901,67
56.67795,-166.42057,F-03,31,2019,6/17/19 7:12,13.9445,38.531,arrowtooth flounder,Atheresthes stomias,10110,84,4.2,9.5,94,201901,68
56.34468,-166.41512,E-03,31,2019,6/17/19 9:47,33.501,58.0807,arrowtooth flounder,Atheresthes stomias,10110,103,4.7,9.3,94,201901,69
56.00619,-166.39997,D-03,50,2019,6/17/19 12:20,28.7519,65.5962,arrowtooth flounder,Atheresthes stomias,10110,123,4.6,9.4,94,201901,70
55.68473,-166.40486,C-03,50,2019,6/17/19 14:52,25.017,72.1654,arrowtooth flounder,Atheresthes stomias,10110,126,4.7,9.2,94,201901,71
55.36259,-166.36918,B-03,50,2019,6/17/19 17:29,41.1236,90.8948,arrowtooth flounder,Atheresthes stomias,10110,132,4.7,8.8,94,201901,72
55.0235,-166.35313,A-03,50,2019,6/17/19 20:14,54.7137,89.7371,arrowtooth flounder,Atheresthes stomias,10110,143,4.7,8.3,94,201901,73
55.33674,-167.5503,B-01,50,2019,6/23/19 7:21,56.9233,149.7216,arrowtooth flounder,Atheresthes stomias,10110,148,4.6,9,94,201901,74
55.66719,-167.55617,C-01,50,2019,6/23/19 10:15,20.2541,41.7423,arrowtooth flounder,Atheresthes stomias,10110,135,4.4,9.4,94,201901,75
55.66095,-168.16686,C-18,50,2019,6/23/19 12:59,11.9243,37.4966,arrowtooth flounder,Atheresthes stomias,10110,135,4.4,9.2,94,201901,76
55.99973,-168.22279,D-18,50,2019,6/23/19 15:43,10.0824,17.4541,arrowtooth flounder,Atheresthes stomias,10110,150,4.4,9.2,94,201901,77
56.00762,-167.63406,D-01,50,2019,6/23/19 18:35,35.6098,59.4801,arrowtooth flounder,Atheresthes stomias,10110,132,4.5,9.8,94,201901,78
56.33738,-167.61958,E-01,50,2019,6/24/19 7:11,58.0063,102.3664,arrowtooth flounder,Atheresthes stomias,10110,128,4.6,9.6,94,201901,79
56.33855,-168.22554,E-18,50,2019,6/24/19 9:48,73.2123,111.8522,arrowtooth flounder,Atheresthes stomias,10110,151,4.4,9.7,94,201901,80
56.65516,-168.31849,F-18,50,2019,6/24/19 12:40,13.4124,40.1682,arrowtooth flounder,Atheresthes stomias,10110,107,4.5,9.7,94,201901,81
56.65396,-167.6742,F-01,31,2019,6/24/19 15:46,25.741,37.5868,arrowtooth flounder,Atheresthes stomias,10110,103,4.5,9.7,94,201901,82
56.97769,-167.68022,G-01,31,2019,6/24/19 18:26,29.0471,52.4285,arrowtooth flounder,Atheresthes stomias,10110,77,4.3,9.3,94,201901,83
56.9902,-168.33563,G-18,32,2019,6/25/19 7:13,17.6948,28.1151,arrowtooth flounder,Atheresthes stomias,10110,81,4.3,9.2,94,201901,84
57.30999,-168.38158,H-18,32,2019,6/25/19 9:51,8.5225,6.6183,arrowtooth flounder,Atheresthes stomias,10110,74,4.1,8.9,94,201901,85
57.34135,-167.75688,H-01,31,2019,6/25/19 12:49,9.958,30.6853,arrowtooth flounder,Atheresthes stomias,10110,73,3.8,9.2,94,201901,86
57.33582,-167.13461,H-02,31,2019,6/25/19 15:30,3.1465,10.1227,arrowtooth flounder,Atheresthes stomias,10110,70,3.9,9.4,94,201901,87
57.31946,-166.46556,H-03,31,2019,6/26/19 7:07,8.4584,15.7127,arrowtooth flounder,Atheresthes stomias,10110,70,3.7,9.6,94,201901,88
57.64686,-166.49533,I-03,31,2019,6/26/19 9:59,2.4226,2.5032,arrowtooth flounder,Atheresthes stomias,10110,66,3.8,9.3,94,201901,89
57.98603,-166.51849,J-03,31,2019,6/26/19 12:43,5.038,4.3468,arrowtooth flounder,Atheresthes stomias,10110,61,4.2,8.9,94,201901,90
57.64986,-167.12238,I-02,31,2019,6/27/19 7:09,2.309,3.3178,arrowtooth flounder,Atheresthes stomias,10110,68,3.6,9.2,94,201901,92
57.98198,-167.15639,J-02,31,2019,6/27/19 9:47,0.6859,0.6421,arrowtooth flounder,Atheresthes stomias,10110,63,3.6,9,94,201901,93
58.3323,-167.17222,K-02,20,2019,6/27/19 12:32,1.5656,1.2547,arrowtooth flounder,Atheresthes stomias,10110,52,4.5,8.4,94,201901,94
58.33125,-167.82634,K-01,41,2019,6/27/19 15:20,3.3338,2.9539,arrowtooth flounder,Atheresthes stomias,10110,60,3.9,9.2,94,201901,95
58.34709,-168.47399,K-18,41,2019,6/28/19 7:06,4.8373,3.639,arrowtooth flounder,Atheresthes stomias,10110,66,3.4,9.3,94,201901,97
58.02437,-168.44444,J-18,42,2019,6/28/19 9:37,2.0547,4.944,arrowtooth flounder,Atheresthes stomias,10110,70,3.5,9.3,94,201901,98
57.99647,-167.82595,J-01,41,2019,6/28/19 12:33,4.4295,3.2509,arrowtooth flounder,Atheresthes stomias,10110,67,3.7,9.5,94,201901,99
57.69396,-167.75726,I-01,31,2019,6/28/19 15:11,5.2843,8.4036,arrowtooth flounder,Atheresthes stomias,10110,69,3.9,9.5,94,201901,100
57.66708,-168.38631,I-18,42,2019,6/28/19 18:09,8.4892,17.8582,arrowtooth flounder,Atheresthes stomias,10110,71,4,9.6,94,201901,101
57.50975,-168.73239,IH1918,42,2019,6/29/19 7:10,20.4938,33.1296,arrowtooth flounder,Atheresthes stomias,10110,72,4.2,9.4,94,201901,102
57.35335,-168.97735,H-19,42,2019,6/29/19 9:26,20.3202,36.9739,arrowtooth flounder,Atheresthes stomias,10110,71,4.3,9.6,94,201901,103
57.17949,-168.61982,HG1918,32,2019,6/29/19 12:22,39.5185,50.0526,arrowtooth flounder,Atheresthes stomias,10110,76,4.5,9.6,94,201901,104
57.01864,-168.92244,G-19,32,2019,6/29/19 14:33,15.6094,34.1812,arrowtooth flounder,Atheresthes stomias,10110,79,4.3,9.8,94,201901,105
56.84641,-168.59127,GF1918,32,2019,6/29/19 17:11,13.0217,35.4088,arrowtooth flounder,Atheresthes stomias,10110,97,4.4,10,94,201901,106
56.68304,-168.88859,F-19,32,2019,6/30/19 7:08,40.5427,68.2616,arrowtooth flounder,Atheresthes stomias,10110,100,4.4,9.8,94,201901,107
56.33681,-168.85656,E-19,50,2019,6/30/19 9:52,29.2733,87.7951,arrowtooth flounder,Atheresthes stomias,10110,128,4.5,10.1,94,201901,108
56.33653,-169.30074,E-20,50,2019,6/30/19 11:58,19.505,46.161,arrowtooth flounder,Atheresthes stomias,10110,138,4.5,10.1,94,201901,109
56.33384,-170.05454,E-21,50,2019,6/30/19 15:10,25.5869,58.0359,arrowtooth flounder,Atheresthes stomias,10110,109,4.5,10.1,94,201901,110
56.34082,-170.64435,E-22,61,2019,6/30/19 17:51,43.7275,65.6942,arrowtooth flounder,Atheresthes stomias,10110,120,4.5,9.9,94,201901,111
56.67279,-170.73415,F-22,61,2019,7/1/19 7:19,18.3725,44.0129,arrowtooth flounder,Atheresthes stomias,10110,115,4.4,9.1,94,201901,112
56.66181,-170.13446,F-21,42,2019,7/1/19 10:19,86.1857,147.0544,arrowtooth flounder,Atheresthes stomias,10110,97,4.8,9.3,94,201901,113
56.83561,-170.45667,GF2221,42,2019,7/1/19 12:37,37.0449,57.8362,arrowtooth flounder,Atheresthes stomias,10110,100,4.6,8.8,94,201901,114
