Year,Total Hauls,Hauls w/Len,Number  lengths,Hauls w/otoliths,Hauls w/ages,Number otoliths,Number ages
1982,334,246,37023,35,35,744,744
1983,353,256,33924,37,37,709,709
1984,355,271,33894,56,56,821,796
1985,357,261,33824,44,43,810,802
1986,354,249,30470,34,34,739,739
1987,357,224,31241,16,16,798,798
1988,373,254,27138,14,14,543,543
1989,374,236,29672,24,24,740,740
1990,371,251,30257,28,28,792,792
1991,372,248,27986,26,26,742,742
1992,356,229,23628,16,16,606,606
1993,375,242,26651,20,20,549,549
1994,375,269,24448,14,14,526,522
1995,376,254,22116,20,20,654,647
1996,375,247,27505,16,16,729,721
1997,376,262,26034,11,11,470,466
1998,375,310,34509,15,15,575,570
1999,373,276,28431,31,31,777,770
2000,372,255,24880,20,20,517,511
2001,375,251,26558,25,25,604,593
2002,375,246,26309,32,32,738,723
2003,376,241,27135,37,37,699,695
2004,375,251,26103,26,26,725,712
2005,373,251,24658,34,34,644,635
2006,376,246,28470,39,39,428,426
2007,376,247,24790,66,66,779,772
2008,375,238,25848,65,65,858,830
2009,376,235,22018,70,70,784,752
2010,376,228,20619,77,77,841,827
2011,376,228,21665,65,64,784,753
2012,376,242,23519,72,72,993,973
2013,376,232,23261,70,70,821,803
2014,376,219,20229,52,52,799,790
2015,376,223,20830,73,73,878,875
2016,376,242,26674,69,69,884,876
2017,376,258,25767,78,78,896,886
2018,376,255,1830,68,68,724,720
2019,376,270,25669,67,,836,
