Year,Northern Rockfish,Other Flatfish,Other Rockfish,Pacific Cod,Pacific Ocean Perch,Pollock,Rock Sole,Sablefish,Sharpchin/Northern RF
1992,0,0,0,"8,700",0,"13,100","14,646",0,0
1993,0,0,0,"8,723",4,"15,253","7,300",0,0
1994,0,0,0,"16,415",0,"33,200","8,096",0,0
1995,0,"12,239",3,"13,181",0,"27,041","7,486",0,0
1996,0,"10,962",22,"8,684",0,"22,254","12,903",0,0
1997,0,"17,222",12,"12,825",0,"24,100","16,693",0,0
1998,0,"9,182",1,"10,233",1,"15,339","9,826",0,0
1999,0,"11,449",3,"4,383",12,"8,701","10,774",4,0
2000,0,"10,286",3,"5,192",1,"13,425","7,345",0,0
2001,0,"6,844",0,"6,531",0,"16,502","5,810",0,1
2002,0,519,0,"6,259",1,"14,489","10,664",0,0
2003,0,0,0,"4,634",10,"11,578","8,314",0,0
2004,0,0,2,"3,574",0,"10,383","9,972",0,0
2005,3,0,0,"3,769",15,"10,312","10,090",1,0
2006,0,0,0,"2,545",0,"5,966","7,971",0,0
2007,0,0,0,"2,519",0,"4,020","8,241",0,0
2008,0,0,0,"5,767",0,"9,827","10,468",0,0
2009,0,0,0,"10,716",0,"7,036","8,978",0,0
2010,0,0,0,"11,097",0,"5,156","9,606",0,0
2011,0,0,0,"16,204",0,"8,673","9,694",0,0
2012,0,0,0,"19,344",0,"11,199","9,148",0,0
2013,0,0,0,"24,339",16,"20,171","7,688",0,0
2014,0,0,0,"15,217",0,"24,700","7,022",0,0
2015,0,0,0,"12,168",0,"21,281","9,772",0,0
2016,0,0,0,"11,985",2,"22,306","7,948",0,0
2017,0,0,0,"14,648",0,"23,414","12,196",0,0
2018,0,0,0,"12,582",0,"28,235","9,362",6,0
2019,0,0,0,"9,957",0,"19,828","8,721",0,0
