Survey,Year,Cruise Join ID,Haul Join ID,Catch Join ID,Vessel Number,Cruise Number,Haul Number,Starting Latitude (dd),Starting Longitude (dd),Ending Latitude (dd),Ending Longitude (dd),Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Domain,Density,Gear Performance,Satisfactory Gear Performance,Gear Performance Note,Gear Depth,Bottom Depth,Distance Fished (km),Net Width (m) ,Species Code,Common Name,Scientific Name,Weight (kg),Number of Fish,Effort (km2),Weight CPUE (kg/km2),Number CPUE (number/km2),akfin_load_date
EBS_SHELF,2014,-688,-10818,-327748,94,201401,3,57.30759,-158.43212,57.32967,-158.41258,10,,,,<50 m in SE section- INNER DOMAIN,,,,,0,Y,Good performance,30,32,2.723,15.668,10210,yellowfin sole,Limanda aspera,589.171,1993,0.042663964,13809.57006,46713.89653,3-Oct-19
EBS_SHELF,2014,-688,-10840,-327927,94,201401,10,57.01005,-159.67703,56.98527,-159.66963,10,,,,<50 m in SE section- INNER DOMAIN,,,,,0,Y,Good performance,54,56,2.79,16.842,10210,yellowfin sole,Limanda aspera,529.448,1501,0.04698918,11267.44497,31943.52402,3-Oct-19
EBS_SHELF,2014,-688,-10847,-328161,94,201401,17,57.98898,-160.83903,58.01447,-160.83984,10,,,,<50 m in SE section- INNER DOMAIN,,,,,0,Y,Good performance,43,45,2.833,15.602,10210,yellowfin sole,Limanda aspera,618.212,2429,0.044200466,13986.54937,54954.17175,3-Oct-19
EBS_SHELF,2014,-688,-11723,-328678,94,201401,33,57.9657,-163.36733,57.99116,-163.37431,10,,,,<50 m in SE section- INNER DOMAIN,,,,,0,Y,Good performance,41,43,2.859,17.969,10210,yellowfin sole,Limanda aspera,1248.063,4153,0.051373371,24293.96739,80839.54623,3-Oct-19
EBS_SHELF,2014,-688,-11764,-328946,94,201401,44,59.68257,-165.91306,59.66161,-165.94611,20,,,,<50 m in NW section- INNER DOMAIN,,,,,0,Y,Good performance,19,21,2.986,13.006,10210,yellowfin sole,Limanda aspera,60.74,303,0.038835916,1564.016155,7802.05622,3-Oct-19
EBS_SHELF,2014,-688,-11919,-347949,94,201401,85,60.33318,-168.63098,60.33338,-168.68188,20,,,,<50 m in NW section- INNER DOMAIN,,,,,0,Y,Good performance,35,37,2.82,15.589,10210,yellowfin sole,Limanda aspera,248.402,1428,0.04396098,5650.510976,32483.35228,3-Oct-19
EBS_SHELF,2014,-688,-11830,-347634,94,201401,75,57.98392,-167.16427,58.00756,-167.17567,31,,,,"50-100m in SE section, low density - MIDDLE DOMAIN",,,,,0,Y,Good performance,62,64,2.712,16.959,10210,yellowfin sole,Limanda aspera,717.175,1712,0.045992808,15593.19883,37223.21107,3-Oct-19
EBS_SHELF,2014,-688,-11958,,94,201401,110,56.64976,-168.91079,56.67415,-168.91404,32,,,,"50-100m in SE section, high density, pribilofs - MIDDLE DOMAIN",,,,,0,Y,Good performance,99,101,2.718,16.34,10210,yellowfin sole,Limanda aspera,0,0,0.04441212,0,0,3-Oct-19
EBS_SHELF,2014,-688,-11922,-348060,94,201401,88,60.34406,-170.67145,60.31793,-170.66696,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,60,62,2.914,17.561,10210,yellowfin sole,Limanda aspera,7.69,21,0.051172754,150.2752813,410.3746302,3-Oct-19
EBS_SHELF,2014,-688,-12160,,94,201401,164,60.65805,-174.10718,60.6723,-174.15149,41,,,,"50-100m in NW section, low density, - MIDDLE DOMAIN",,,,,0,Y,Good performance,84,86,2.9,17.443,10210,yellowfin sole,Limanda aspera,0,0,0.0505847,0,0,3-Oct-19
