Year,Total Hauls,Hauls w/Len,Number  lengths,Hauls w/otoliths,Hauls w/ages,N. aged (survey),N. aged (fishery)
1982,334,246,37023,35,35,744,2432
1983,353,256,33924,37,37,709,1178
1984,355,271,33894,56,56,796,338
1985,357,261,33824,44,43,802,840
1986,354,249,30470,34,34,739,1503
1987,357,224,31241,16,16,798,1071
1988,373,254,27138,14,14,543,1361
1989,374,236,29672,24,24,740,1462
1990,371,251,30257,28,28,792,1220
1991,372,248,27986,26,26,742,935
1992,356,229,23628,16,16,606,1203
1993,375,242,26651,20,20,549,1020
1994,375,269,24448,14,14,522,573
1995,376,254,22116,20,20,647,554
1996,375,247,27505,16,16,721,314
1997,376,262,26034,11,11,466,397
1998,375,310,34509,15,15,570,426
1999,373,276,28431,31,31,770,487
2000,372,255,24880,20,20,511,583
2001,375,251,26558,25,25,593,491
2002,375,246,26309,32,32,723,486
2003,376,241,27135,37,37,695,590
2004,375,251,26103,26,26,712,483
2005,373,251,24658,34,34,635,494
2006,376,246,28470,39,39,426,490
2007,376,247,24790,66,66,772,496
2008,375,238,25848,65,65,830,542
2009,376,235,22018,70,70,752,515
2010,376,228,20619,77,77,827,535
2011,376,228,21665,65,64,753,525
2012,376,242,23519,72,72,973,504
2013,376,232,23261,70,70,803,670
2014,376,219,20229,52,52,790,502
2015,376,223,20830,73,73,875,622
2016,376,242,26674,69,69,876,495
2017,376,258,25767,78,78,886,595
2018,376,255,1830,68,68,720,608
2019,376,270,25669,67,67,836,589
